date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:01	183002/183002	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Dec%202024%2012:39:03%20GMT	https://safeonline.global/press-release-survivors-and-allies-demand-urgent-action-to-prevent-digital-harms-and-keep-children-safe-online/	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/index-32.html	(from https://safeonline.global/)
15:39:01	11010/11010	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22675d29d7-2b02%22	https://safeonline.global/wp-content/plugins/th-widget-pack/js/themo-foot.js?ver=2.2.6	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/themo-footdbc2.js	(from https://safeonline.global/)
15:39:01	229035/229035	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Dec%202024%2012:39:04%20GMT	https://safeonline.global/page/2/	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/index-33.html	(from https://safeonline.global/)
15:39:01	24109/24109	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22675fc976-5e2d%22	https://safeonline.global/wp-content/plugins/elementor-pro/assets/lib/smartmenus/jquery.smartmenus.min.js?ver=1.2.1	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/jquery.smartmenus.min1576.js	(from https://safeonline.global/)
15:39:02	5520/5520	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2267615206-1590%22	https://safeonline.global/wp-includes/js/imagesloaded.min.js?ver=5.0.0	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/imagesloaded.minbb93.js	(from https://safeonline.global/)
15:39:02	1801/1801	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22674da50a-709%22	https://safeonline.global/wp-content/plugins/elementor/assets/lib/jquery-numerator/jquery-numerator.min.js?ver=0.2.1	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/jquery-numerator.min3958.js	(from https://safeonline.global/)
15:39:02	229608/229608	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Dec%202024%2012:39:05%20GMT	https://safeonline.global/page/3/	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/index-34.html	(from https://safeonline.global/)
15:39:03	229354/229354	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Dec%202024%2012:39:05%20GMT	https://safeonline.global/page/4/	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/index-35.html	(from https://safeonline.global/)
15:39:03	145917/145917	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22674ff71f-239fd%22	https://safeonline.global/wp-content/plugins/bdthemes-element-pack-lite/assets/js/bdt-uikit.min.js?ver=3.17.0	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/bdt-uikit.mine7ad.js	(from https://safeonline.global/)
15:39:03	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Dec%202024%2012:39:05%20GMT	http://safeonline.global/privacy-policy/	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/index-38.html	(from https://safeonline.global/)
15:39:03	229521/229521	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Dec%202024%2012:39:05%20GMT	https://safeonline.global/page/5/	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/index-36.html	(from https://safeonline.global/)
15:39:03	4997/4997	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2267591f4d-1385%22	https://safeonline.global/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.19.4	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/webpack.runtime.min6e54.js	(from https://safeonline.global/)
15:39:03	190358/190358	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Dec%202024%2012:39:06%20GMT	https://safeonline.global/reporting/	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/index-37.html	(from https://safeonline.global/)
15:39:03	60173/60173	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22675b67c5-eb0d%22	https://safeonline.global/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.19.4	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/frontend-modules.min6e54.js	(from https://safeonline.global/)
15:39:04	21464/21464	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22674da50b-53d8%22	https://safeonline.global/wp-includes/js/jquery/ui/core.min.js?ver=1.13.3	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/core.minb37e.js	(from https://safeonline.global/)
15:39:04	40306/40306	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22674911a1-9d72%22	https://safeonline.global/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.19.4	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/frontend.min6e54.js	(from https://safeonline.global/)
15:39:04	411/411	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22671e7777-19b%22	https://safeonline.global/wp-content/plugins/bdthemes-element-pack-lite/assets/js/modules/ep-wrapper-link.min.js?ver=5.5.2	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/ep-wrapper-link.min4245.js	(from https://safeonline.global/)
15:39:04	1118/1118	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22674da509-45e%22	https://safeonline.global/wp-content/plugins/bdthemes-element-pack-lite/assets/js/common/helper.min.js?ver=5.5.2	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/helper.min4245.js	(from https://safeonline.global/)
15:39:04	5825/5825	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2267558001-16c1%22	https://safeonline.global/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.19.3	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/webpack-pro.runtime.mince54.js	(from https://safeonline.global/)
15:39:05	4776/4776	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22673e1142-12a8%22	https://safeonline.global/wp-includes/js/dist/hooks.min.js?ver=4d63a3d491d11ffd8ac6	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/hooks.min4fdd.js	(from https://safeonline.global/)
15:39:05	9141/9141	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22675fc978-23b5%22	https://safeonline.global/wp-includes/js/dist/i18n.min.js?ver=5e580eb46a90c2b997e6	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/i18n.minc33c.js	(from https://safeonline.global/)
15:39:05	25066/25066	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22675b67c4-61ea%22	https://safeonline.global/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.19.3	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/frontend.mince54.js	(from https://safeonline.global/)
15:39:05	38254/38254	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22673a7b91-956e%22	https://safeonline.global/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min.js?ver=3.19.3	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/elements-handlers.mince54.js	(from https://safeonline.global/)
15:39:06	3721/3721	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22674dbe7f-e89%22	https://safeonline.global/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js?ver=3.19.3	C:/My%20Web%20Sites/two%20pages_v2/safeonline.global/js/jquery.sticky.mince54.js	(from https://safeonline.global/)
15:39:14	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Dec%202024%2012:39:17%20GMT	http://safeonline.global/robots.txt		(from https://safeonline.global/)
